KIBB,,MHBOS,m_holiday,/,/,/,"Model 5B
Key: Date in YYYY
Partition: YEAR (Date in YYYY)",,,,,,"RAW: N/A
COM_T: all",,irem-ref,irem-6a,KIBB,,
KIBB,,MHBOS,m_holiday_foreign,/,/,/,"Model 5B
Key: Date in YYYY
Partition: YEAR (Date in YYYY)",,,,,,"RAW: N/A
COM_T: all",,irem-ref,irem-6a,KIBB,,
NTT,CK,MHBOS,m_mcd_client_addr,/,/,/,"Model 3
Key: client_no
Partition: N/A",,,,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>",,irem-acc;irem-acc-trader;einv-acc,irem-2a,NTT,,
KIBB,,MHBOS,m_para,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,irem-ref,irem-6a,KIBB,,
NTT,CK,MHBOS,m_price_cap_client,/,/,/,Model 2A,,,,,,"RAW: All (Prod)
COM_T: COM_R where etl_dt = <last available date>",,other,other-1a-4,NTT,,
KIBB,,MHBOS,m_product_type,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,irem-ref,irem-6a,KIBB,,
NTT,CK,MHBOS,m_stock,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,irem-ledger;irem-stock;einv-ref;einv-trx,irem-5a,NTT,,
NTT,CK,MHBOS,m_trader,/,/,/,Model 2A,,,,,,"RAW: N/A (as it's full extraction)
COM_T: COM_R where etl_dt = <last available date>",,irem-acc; irem-ledger;irem-acc-trader;irem-acc-trader-cpe;irem-stock-bal;einv-acc;einv-agent-profile;einv-trx,irem-2a,NTT,,
NTT,CK,MHBOS,m_trader_cmsrl,/,/,/,Model 2A,,,,,,"RAW: N/A (as it's full extraction)
COM_T: COM_R where etl_dt = <last available date>",,irem-acc-trader-assistant;irem-acc-trader-cpe;einv-acc;einv-agent-profile,irem-2a,NTT,,
NTT,CK,MHBOS,t_bdt_dt,/,/,/,"Model 5B
Key: date_created (YYYY-MM-DD HH)
Partition: year_month (date_created in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: all from COM_R",,other,other-1a-4,NTT,,
NTT,CK,MHBOS,t_bdt_hd,/,/,/,"Model 4
Key: client_no, con_no, tran_date
Partition: YEAR_MONTH (tran_date in YYYYMM)",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,irem-ledger,irem-5a,NTT,,
NTT,CK,MHBOS,t_cashbook,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,irem-ledger,irem-5a,NTT,,
NTT,Aiqal,MHBOS,t_client_balance,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,irem-ledger;irem-stock-bal; irem-eipo,irem-5a,NTT,,
KIBB,,MHBOS,t_close_price,/,/,/,"Model 5B
Key: Date in YYYY-MM-DD
Partition: YEAR_MONTH (Date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R 
*If same Date appears in different COM_R partition, choose the one with latest etl_dt partition",,irem-stock,irem-7,KIBB,,
NTT,CK,MHBOS,t_contract,/,/,/,"Model 3
Key: replace(con_no, chr(31), ''), client_no, con_date
Selection logic when multiple records for same key: partition by replace(con_no, char(31), ''),client_no,con_date order by isnull(amend_date, '9999-12-31') desc, date_created desc
Partition: N/A
*Refer to DevOps story 7566 acceptance criteria",,,,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>",,irem-acc-con;einv-trx;ailab-mhbos,irem-2a,NTT,,
NTT,CK,MHBOS,t_ctr_hd,/,/,/,"Model 4
Key: ctr_no, tran_date
Partition: YEAR_MONTH (tran_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R partition by ctr_no + tran_date, get top 1 order by etl_dt desc",,einv-trx,einv-2a-4,NTT,,
NTT,Aiqal,MHBOS,t_currency,/,/,/,"Model 5B
Key: effective_date in YYYY-MM-DD
Partition: YEAR_MONTH (effective_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R 
*If same effective_date appears in different COM_R partition, choose the one with latest etl_dt partition",,irem-ref;einv-ref;irem-acc-agent,"irem-6a
irem-2a","KIBB
NTT",,
NTT,CK,MHBOS,t_disposal_gain_loss,/,/,/,"Model 5B
Key: rpt_seq_date (YYYY-MM-DD HH)
Partition: year_month (rpt_seq_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: all from COM_R",,other,other-1a-4,NTT,"DEV, UAT",
KIBB,,MHBOS,t_glled_dt,/,/,/,"Model 6
Key: jnl_no, key_date
Partition: YEAR_MONTH (key_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R 
*If same jnl_no + key_date appears in different COM_R partition, choose the one with latest etl_dt partition",,irem-glled;einv-trx,irem-12,KIBB,,
NTT,CK,MHBOS,t_glled_hd,/,/,/,"Model 4
Key: jnl_no, jnl_date
Partition: YEAR_MONTH (jnl_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R partition by jnl_no + jnl_date, get top 1 order by etl_dt desc",,einv-trx,einv-2a-4,NTT,,
NTT,CK,MHBOS,t_ledger_dt,/,/,/,"Model 6
Key: client_no, con_no, key_date
Partition: YEAR_MONTH (key_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R",,einv-trx;ailab-mhbos,einv-2a-4,NTT,,
NTT,CK,MHBOS,t_ledger_hd,/,/,/,"Model 4
Key: client_no, con_no, tran_date
Partition: YEAR_MONTH (tran_date in YYYYMM)",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,irem-ledger;irem-stock-bal;einv-trx;ailab-mhbos,irem-5a,NTT,,
NTT,CK,MHBOS,t_payt_dt,/,/,/,"Model 6
Key: pay_no, key_date
Partition: YEAR_MONTH (key_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R ",,einv-trx,einv-2a-4,NTT,,
NTT,CK,MHBOS,t_payt_hd,/,/,/,"Model 4
Key: pay_no, tran_date
Partition: YEAR_MONTH (tran_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R partition by pay_no + tran_date, get top 1 order by etl_dt desc",,einv-trx,einv-2a-4,NTT,,
NTT,CK,MHBOS,t_rec_dta,/,/,/,"Model 6
Key: rec_no, proc_date
Partition: YEAR_MONTH (proc_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R ",,irem-ledger;einv-trx,irem-5a,NTT,,
NTT,CK,MHBOS,t_rec_dtb,/,/,/,"Model 6
Key: rec_no, proc_date
Partition: YEAR_MONTH (proc_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R ",,irem-ledger;einv-trx,irem-5a,NTT,,
NTT,CK,MHBOS,t_rec_hd,/,/,/,"Model 4
Key: rec_no, proc_date
Partition: YEAR_MONTH (proc_date in YYYYMM)",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,irem-ledger;einv-trx,irem-5a,NTT,,
NTT,CK,MHBOS,t_setoff_dt,/,/,/,"Model 6
Key: setoff_no, key_date
Partition: YEAR_MONTH (key_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R ",,einv-trx,einv-2a-4,NTT,,
NTT,CK,MHBOS,t_setoff_hd,/,/,/,"Model 4
Key: setoff_no, tran_date
Partition: YEAR_MONTH (tran_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R partition by setoff_no + tran_date, get top 1 order by etl_dt desc",,einv-trx,einv-2a-4,NTT,,
NTT,CK,MHBOS,t_trust_acc,/,/,/,"Model 5B
Key: date_created in YYYY-MM-DD HH
Partition: YEAR_MONTH (date_created in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R ",,irem-ledger;ailab-mhbos,irem-5a,NTT,,
NTT,Faris,MHBOS,tmp_bfe613,/,/,/,"Model 3
Key: tdr_code",,,,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-4,NTT,,
NTT,CK,MHBOS,tmp_bfe614,/,/,/,"Model 3
Key: Account_Number
Partition: N/A",,,,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>",,irem-acc; irem-ledger,irem-2a,NTT,,
KIBB,,MHBOS,tmp_cft017,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,irem-dormant,irem-10,KIBB,,
NTT,CK,MHBOS,tmp_perm_paytrans,/,/,/,"Model 5B
Key: date_created (YYYY-MM-DD HH)
Partition: year_month (date_created in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: all from COM_R",,other,other-1a-4,NTT,,
NTT,Faris,MHBOS,tradercollateralsummary (view),/,/,/,Model 2A,,,,,,"RAW: All (Prod)
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,other,other-1a-4,NTT,,
NTT,CK,RAKUTEN,RAKCUST_yyyyMMdd.txt,/,/,/,"Model 3, 
Key: Account_No",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-5,NTT,,
NTT,CK,RAKUTEN,RAKTRX_HK_yyyyMMdd.dat,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R",,einv-trx,einv-2a-5,NTT,,
NTT,CK,RAKUTEN,RAKTRX_MY_yyyyMMdd.dat,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R",,einv-trx,einv-2a-5,NTT,,
NTT,CK,RAKUTEN,RAKTRX_US_yyyyMMdd.dat,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R",,einv-trx,einv-2a-5,NTT,,
KIBB,,SBL,sbl_tbl_einvoicing_clientdata,/,/,/,"Model 3, 
Key: account_number",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-6,KIBB,,
KIBB,,SBL,sbl_tbl_einvoicing_transactiondata,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R
*If same transaction_date exists in multiple COM_R partition, select the one with latest etl_dt",,einv-trx,einv-2a-6,KIBB,,
KIBB,,SBL,tbl_account,/,/,/,"Model 3
Key: account_id",,,,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-6,KIBB,,
KIBB,,SBL,tbl_AccountStatus,/,/,/,"Model 1
Key: account_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-6,KIBB,,
KIBB,,SBL,tbl_BUMIStatus,/,/,/,"Model 1
Key: bumi_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-6,KIBB,,
NTT,Faris,SBL,tbl_CompanyType,/,/,/,"Model 1
Key: company_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-5,NTT,,
KIBB,,SBL,tbl_counterparty,/,/,/,"Model 3
Key: COUNTERPARTY_ID",,,,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>",dim_account_cif,einv-acc;einv-cust,einv-1a-6,KIBB,,
KIBB,,SBL,tbl_CounterpartyClass,/,/,/,"Model 1
Key: counterparty_class_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-6,KIBB,,
KIBB,,SBL,tbl_Country,/,/,/,"Model 1
Key: country_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-cust,einv-1a-6,KIBB,,
NTT,Faris,SBL,tbl_CountryState,/,/,/,"Model 1
Key: country_state_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_DayCountConvention,/,/,/,"Model 1
Key: country_state_id",,,,,,"RAW: N/A
COM_T: All",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_EmploymentSector,/,/,/,"Model 1
Key: employment_sector_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_EmploymentStatusType,/,/,/,"Model 1
Key: employment_status_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_InvestmentProfilingEstimatedNetWorth,/,/,/,"Model 1
Key: investment_profiling_estimated_net_worth_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_LoanModel,/,/,/,"Model 1
Key: Loan_Model_Id",,,,,,"RAW: N/A
COM_T: All",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_LoanSide,/,/,/,"Model 1
Key: Loan_Side_Id",,,,,,"RAW: N/A
COM_T: All",,other,other-1a-5,NTT,,
KIBB,,SBL,tbl_MaritalStatus,/,/,/,"Model 1
Key: marital_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",dim_account_cif,einv-acc;einv-cust,einv-1a-6,KIBB,,
KIBB,,SBL,tbl_Occupation,/,/,/,"Model 1
Key: occupation_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",dim_account_cif,einv-acc;,einv-1a-6,KIBB,,
NTT,Faris,SBL,tbl_PurposeOfSecurityBorrowing,/,/,/,"Model 1
Key: Purpose_Of_Sec_Borrowing_Id",,,,,,"RAW: N/A
COM_T: All",,other,other-1a-5,NTT,,
KIBB,,SBL,tbl_Race,/,/,/,"Model 1
Key: race_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",dim_account_cif,einv-acc;einv-cust,einv-1a-6,KIBB,,
NTT,Faris,SBL,tbl_Remisier,/,/,/,"Model 1
Key: Remisier_Id",,,,,,"RAW: N/A
COM_T: All",,other,other-1a-5,NTT,,
KIBB,,SBL,tbl_ResidencyStatus,/,/,/,"Model 1
Key: residency_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-cust,einv-1a-6,KIBB,,
NTT,Faris,SBL,tbl_SBLLoan,/,/,/,"Model 3
Key: SBL_Loan_Id",,,,,,"RAW: All (Prod)
COM_T: All ",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_SBLLoanPosition,/,/,/,"Model 5B
Key: as_of_date
Partition: year_month (as_of_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All ",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_Security,/,/,/,"Model 1
Key: security_id",,,,,,"RAW: N/A
COM_T: All",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_TenureType,/,/,/,"Model 1
Key: Tenure_Type_Id",,,,,,"RAW: N/A
COM_T: All",,other,other-1a-5,NTT,,
NTT,Faris,SBL,tbl_TermType,/,/,/,"Model 1
Key: Term_Type_Id",,,,,,"RAW: N/A
COM_T: All",,other,other-1a-5,NTT,,
KIBB,,SBL,tbl_Title,/,/,/,"Model 1
Key: title_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-cust,einv-1a-6,KIBB,,
KIBB,,SBL,tbl_TypeOfBusiness,/,/,/,"Model 1
Key: type_of_business_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",dim_account_cif,einv-acc;einv-cust,einv-1a-6,KIBB,,
NTT,CK,SMF,smf_tbl_einvoicing_clientdata,/,/,/,"Model 3
Key: client_no
Partition: N/A",,,,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>",,irem-acc-fee,irem-2a,NTT,,"COM_M: Not following latest merging logic with update/insert to mapping table, so far result seems ok as if all SMF accounts found in MHBOS"
NTT,CK,SMF,smf_tbl_einvoicing_transactiondata,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R
*If same transaction_date exists in multiple COM_R partition, select the one with latest etl_dt",,einv-trx,einv-2a-8,NTT,,
KIBB,,SMF,tbl_Account,/,/,/,"Model 3
Key: Account_Id",,,,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>",,ailab-dm,ailab-3a,KIBB,,
KIBB,,SMF,tbl_PolicyType,/,/,/,"Model 1
Key: policy_type_id",,,,,,"RAW: N/A
COM_T: All",,ailab-dm,ailab-3a,KIBB,,
KIBB,,SMF,tbl_Security,/,/,/,"Model 1
Key: security_id",,,,,,"RAW: N/A
COM_T: All",,ailab-dm,ailab-3a,KIBB,,
KIBB,,SMF,tbl_V3_Cache_AccountMarginPosition,/,/,/,"Model 5b
Key: as_of_date
Partition: YEAR_MONTH (As_Of_Date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All ",,ailab-dm,ailab-3a,KIBB,,
KIBB,,TOMS,eAccountBalanceOpening,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,other,other-1a-6,KIBB,,
KIBB,,TOMS,eAgentDetails,/,/,/,"Model 3
Key: agentcode",,,,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-agent-profile,einv-1a-7,KIBB,,
KIBB,,TOMS,eAgentSB,/,/,/,"Model 5B
Key: SyDt
Partition: YEAR_MONTH (SyDt in YYYYMM)",,,,,,"RAW: All (Prod only)
COM_T: All from COM_R",,einv-trx,einv-2a-7,KIBB,,
KIBB,,TOMS,eAgentSB_IUTA,/,/,/,"Model 5B
Key: SyDtU
Partition: YEAR_MONTH (SyDtU in YYYYMM)",,,,,,"RAW: All (Prod only)
COM_T: All from COM_R",,einv-trx,einv-2a-7,KIBB,,
NTT,Aiqal,TOMS,eCorporate_Account,/,/,/,"Model 3
Key: accountno
Partition: N/A",,,,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>",,irem-acc-lob;einv-acc;einv-cust,irem-2a,NTT,,
KIBB,,TOMS,eCorporate_Benefi,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,other,other-1a-6,KIBB,,
NTT,Aiqal,TOMS,eCorporate_CIF,/,/,/,"Model 3
Key: busreg
Partition: N/A",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,irem-acc-lob;einv-acc;einv-cust,irem-2a,NTT,,
NTT,Aiqal,TOMS,eRetail_Account,/,/,/,"Model 3
Key: accountno
Partition: N/A",,,,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>",,irem-acc-lob;einv-acc;einv-cust,irem-2a,NTT,,
NTT,Aiqal,TOMS,eRetail_CIf,/,/,/,"Model 3
Key: idref
Partition: N/A",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,irem-acc-lob;einv-acc;einv-cust,irem-2a,NTT,,
KIBB,,TOMS,eTransactions,/,/,/,"Model 5B
Key: SyDtC
Partition: yar_month (sydtc in YYYYMM)",,,,,,"RAW: All (Prod only)
COM_T: All ",,other,other-1a-6,KIBB,,
KIBB,,TOMS,mapfund,/,/,/,"Model 1
Key: fundcode",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-6,KIBB,,
KIBB,,TOMS API,Agent List,/,/,/,"AgentDetails: Model 3
RankHistory: Model 6
Key: agtCd",,,,,,All,,einv-agent-profile;reach,einv-3,KIBB,"DEV, UAT",
KIBB,,TOMS API,Agent Transaction,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,TOMS API,Asset Under Management Summary,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,TOMS API,Calendar Date,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,TOMS API,Currency Rate,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,TOMS API,Sales Fee,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,TOMS API,Fund Ledger,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,TOMS API,Fund Parameter,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,TOMS API,Investor List,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,TOMS API,Nav,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,TOMS API,Reference,/,/,/,follow existing,,,,,,"RAW: All (Prod)
COM_T: All",,reach,reach-1a,KIBB,"DEV, UAT",
KIBB,,Data Lake - COM,M_CUSTOMER_ID_MAPPING,,,,,,,,,,All,,"irem-acc, irem-acc-lob;irem-crs;irem-cust;einv-acc;einv-cust",irem-1a,KIBB,,"ACID table. 
Data migration only. "
KIBB,,Data Lake - COM,M_CUSTOMER_ID_MAPPING_H,,,,,,Partition: LOG_PERIOD (end_timestamp in YYYYMM),,,,"All, with partition",,,irem-1a,KIBB,,Data migration only. 
KIBB,,Data Lake - COM,com_customer_type_patch,,,,,/,Follow existing script,,,,N/A,,other,other-9,KIBB,,
NTT/KIBB (by source),CK,Data Lake - CUR,DIM_ACCOUNT,,,,,,,/,"Model 3
Key: ACCOUNT_ID
Partition: SOURCE_KEY (same value as source_name)",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,"irem-acc (mhbos), irem-acc-bank (mhbos); irem-ledger (mhbos); irem-acc-lob (m21, toms);irem-acc-agent (mhbos);einv-acc;ailab-dm;irem-trx",irem-2b,NTT/KIBB (by source),,
NTT/KIBB (by source),CK,Data Lake - CUR,DIM_ACCOUNT_BANK,,,,,,,/,"Model 3
Key: ACCOUNT_ID, BANK_ACCOUNT_TYPE, BANK_ACCOUNT_LOCALE
Partition: SOURCE_KEY (same value as source_name, except for data from MHBOS m_client_thirdparty)
- MHBOS m_client_thirdparty - hardcode source_key = 'MHBOS_THIRDPARTY'
",,"Dataset for source_name = 'MHBOS' and BANK_ACCOUNT_TYPE = 'THIRDPARTY' = Suggest to do full load from COM_T, as source table also doing full extraction from source

All except above dataset: etl_dt = <last available date>

*To follow partition defined in column L",,irem-acc-bank (mhbos),irem-2b,NTT/KIBB (by source),,
"NTT/KIBB
(by source)",CK,Data Lake - CUR,DIM_ACCOUNT_CIF,,,,,,,/,"Model 3
Key: ACCOUNT_ID
Partition: Follow existing",,"All, with partition defined in column L",,einv-acc,einv-1b,"NTT/KIBB
(by source)",,
KIBB,,Data Lake - CUR,DIM_ACCOUNT_CIF_SNAPSHOT,,,,,,,/,follow existing script,,All,,other,other-1b,KIBB,,
NTT,CK,Data Lake - CUR,DIM_ACCOUNT_FEE,,,,,,,/,"Model 3
Key: ACCOUNT_ID, FEE_TYPE, SOURCE_NAME
Hash value: FEE_RATE, FEE_PERIOD
Partition: SOURCE_KEY = 'SMF'",,"etl_dt = <last available date>

*To follow partition defined in column L",,irem-acc-fee,irem-2b,NTT,"DEV, UAT",
NTT,CK,Data Lake - CUR,DIM_ACCOUNT_FEE_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- records in existing but not in new for same ACCOUNT_ID, SOURCE_NAME (removed records)",,"All, with partition",,irem-acc-fee,irem-2b,NTT,,Script to be merged into main table script
NTT,CK,Data Lake - CUR,DIM_ACCOUNT_RELATIONSHIP,,,,,,,/,"Model 3
Key: SOURCE_NAME, source_record_id

*source_record_id to map to com_t.mhbos_m_client_thirdparty.thirdpartyid",,"Suggest to do full load from COM_T, as source table also doing full extraction from source",,irem-acc-rel,irem-2b,NTT,,
NTT,Aiqal,Data Lake - CUR,DIM_ACCOUNT_TRADE_BROKERAGE,,,,,,,/,"Model 3
Key: account_id",,etl_dt = <last available date>,, irem-acc-brkg (mhbos),irem-2b,NTT,,
NTT,CK,Data Lake - CUR,DIM_ACCOUNT_TRADE_MARKET,,,,,,,/,"Model 3
Key: Customer_Id, TRADE_MARKET_TYPE
Partition: Source_Key (same value as source_name)
Hash value = TRADE_MARKET_FLAG + TRADE_MARKET_LIMIT ",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,irem-acc (mhbos);ailab-dm,irem-2b,NTT,,
NTT,,Data Lake - CUR,DIM_ACCOUNT_TRADE_MARKET_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- records in existing but not in new for same ACCOUNT_ID, SOURCE_NAME (removed records)",,"All, with partition",,irem-acc (mhbos);ailab-dm,irem-2b,NTT,,Script to be merged into main table script
NTT,CK,Data Lake - CUR,DIM_ACCOUNT_TRADE_SETTING,,,,,,,/,"Model 3
Key: Customer_Id, TRADE_SETTING_TYPE
Partition: Source_Key (same value as source_name)
Hash value = TRADE_SETTING_FLAG + TRADE_SETTING_VALUE_STRING + TRADE_SETTING_VALUE_INTEGER",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,irem-acc (mhbos); irem-acc-brkg (mhbos),irem-2b,NTT,,
NTT,,Data Lake - CUR,DIM_ACCOUNT_TRADE_SETTING_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- records in existing but not in new for same ACCOUNT_ID, SOURCE_NAME (removed records)",,"All, with partition",,irem-acc (mhbos); irem-acc-brkg (mhbos),irem-2b,NTT,,Script to be merged into main table script
KIBB,,Data Lake - CUR,DIM_ADDRESS,,,,,,,/,"Model 3 (Delete and insert based on Keys - to handle if address removed in source)
Key: Source_Key, Address_Owner_Type, Owner_Id
Partition: Source_Key (source_name + address_owner_type)
- CUSTOMER (address_owner_type = 'CUSTOMER', no need populate source_name, leave source_name as null)
- GUAVA_ACCOUNT
- KDI_ACCOUNT
- LMS_ACCOUNT
- M21_ACCOUNT
- M21_AGENT
- MHBOS_ACCOUNT
- MHBOS_AGENT
- MHBOS_AGENT_ASSISTANT
- MHBOS_BRANCH
- RAKUTEN_ACCOUNT
- SBL_ACCOUNT
- TOMS_ACCOUNT
- TOMS_AGENT",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,irem-acc-trader (mhbos);irem-acc-trader-assistant (mhbos); irem-cust (mhbos);einv-cust;ailab-dm,irem-1b,KIBB,,
