KIBB,,KDI Files,"KDICUST_yyyyMMdd.txt 
(replaced by KDI_CLIENTREPORT_yyyyMMdd.txt)",/,/,/,"Model 3, 
Key: Account_No",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-2,KIBB,,To be replaced by KDI_CLIENTREPORT
KIBB,,KDI Files,KDITRX_yyyyMMdd.dat,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R",,einv-trx,einv-2a-2,KIBB,,"Source: Cannot send records with same transaction date in different files
Datalake: Not supporting historical data reload
eInv: To get data from CUR based on record_created_date"
NTT,Faisal,LMS,tbl_einvoicing_clientdata,/,/,/,"Model 3, 
Key: account_number",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_einvoicing_transactiondata,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R
*If same transaction_date exists in multiple COM_R partition, select the one with latest etl_dt",,einv-trx,einv-2a-2,NTT,,"Source: Expect source to process same transaction date data at the same timing. 
Datalake: Not supporting historical data reload
eInv: To get data from CUR based on record_created_date"
NTT,Faisal,LMS,tbl_Account,/,/,/,"Model 3, 
Key: account_id",,,,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_AmortizationMethod,/,/,/,"Model 1,
Key: amortization_method_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Aiqal,LMS,tbl_Bank,/,/,/,"Model 1,
Key: bank_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",com.t_lmskibb2_tbl_counterparty,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Aiqal,LMS,tbl_BumiputeraStatus,/,/,/,"Model 1,
Key: bumiputera_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",com.t_lmskibb2_tbl_counterparty,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Aiqal,LMS,tbl_BusinessCode,/,/,/,"Model 1,
Key: business_code_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>","com.t_lmskibb2_tbl_counterparty, cur.ref_lookup",einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CCRISCorporateStatus,/,/,/,"Model 1,
Key: ccris_corporate_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
